f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,sin_angle,cos_angle,angle_deg,state
0.0,0.0,0.0,0.15980782,-0.2177153,-0.010330219,0.40668043,-0.46402603,0.03367056,0.6031601,-0.62476027,-0.026070612,0.7947669,-0.7124695,0.110511966,0.83631915,-0.36264646,-0.03978848,1.2220474,-0.35717177,0.041839458,1.626054,-0.35590023,0.03512974,1.948052,-0.35433146,-0.0017409708,0.99965763,-0.020840308,0.015820533,1.3642546,-0.06492162,0.08311488,1.7674363,-0.021215627,0.046590645,2.1160438,-0.021320006,0.020345975,0.8583769,0.4265408,0.09415483,1.2307212,0.35763097,0.06040499,1.6078308,0.31324837,0.054568447,1.8906293,0.29422885,0.020941123,0.7661069,0.63339335,0.079162784,1.0209198,0.66534173,0.09117705,1.381601,0.6259754,0.034851532,1.7027596,0.57890797,0.06179044,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.17841984,-0.16902415,-0.04667264,0.43095776,-0.34134668,-0.17462243,0.62344253,-0.5178238,-0.08579268,0.81459945,-0.632538,-0.03176809,0.8915464,-0.23400775,-0.048580974,1.3070364,-0.2053387,-0.08642611,1.5041125,-0.2893404,0.022551803,1.7843775,-0.23731545,-0.009141362,0.9958291,0.08834494,0.022794247,1.2662455,0.024252543,-0.05447788,1.6556611,0.055185925,-0.020047246,1.8721228,-0.021073796,0.050170492,0.75076455,0.34358618,-0.033288162,1.2526491,0.36443335,-0.07207211,1.5131121,0.2521009,-0.010129547,1.6487023,0.36706403,-0.039329935,0.7384314,0.7037248,-0.027448582,0.956948,0.64178187,-0.11139828,1.3324437,0.6545792,-0.049569067,1.5352551,0.7333107,-0.05533511,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.18373194,-0.30464837,0.109011285,0.38056916,-0.47017372,0.05968352,0.7110211,-0.6129999,0.14425825,0.9255263,-0.73693746,0.0016416996,0.85824513,-0.36842972,0.03634803,1.4291872,-0.33840746,0.062206253,1.7935178,-0.29323205,0.12797527,1.9753717,-0.3403846,0.1719214,0.99349356,0.086571366,0.073999,1.5499072,0.011419519,0.07744713,1.8407346,0.030413762,0.09930966,2.2741237,0.06653192,0.10714627,0.89978456,0.33435544,0.14468157,1.4304992,0.3368864,0.0906975,1.7430977,0.3917046,0.09367752,2.0451803,0.30620942,0.11700722,0.801916,0.8227088,0.026980488,1.0753031,0.6949486,0.11094643,1.4844887,0.7771887,0.15575103,1.8170934,0.752322,0.12928185,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.23754025,-0.21618322,-0.06689957,0.45197278,-0.3597139,0.019186338,0.65694624,-0.56384885,0.07439243,0.900957,-0.5714944,-0.030938871,0.769549,-0.30785298,-0.010035085,1.1317178,-0.29046044,-0.06961161,1.5282483,-0.3167616,0.06873785,1.6862115,-0.33288687,-0.024751235,0.99973124,-0.0034364325,0.022925226,1.2878805,-0.055387653,0.0039947988,1.5363798,0.009879644,0.04253594,1.8674905,-0.014443308,0.0009076612,0.81202406,0.28549054,-0.027433023,1.2145686,0.31787056,0.029150287,1.4477111,0.2435727,-0.00019310642,1.6615524,0.35719454,0.04237231,0.74522483,0.52195877,-0.019494127,0.9770306,0.5054957,-0.03643221,1.2858857,0.54296476,0.007291774,1.4779125,0.61294246,0.039177578,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.16012403,-0.2654624,0.10292482,0.3963918,-0.5236165,0.01955568,0.6748816,-0.6021523,0.15474594,0.7957016,-0.81856704,0.08375646,0.7962866,-0.37496597,0.13338709,1.2816707,-0.4717496,0.09305565,1.5053142,-0.34530514,0.10887308,1.9063128,-0.34237862,0.17025186,0.9952261,-0.09270658,0.030504564,1.4433557,-0.082529925,0.08700414,1.7302736,0.0052576535,0.1466226,2.11439,-0.0765416,0.057246845,0.79791975,0.34517226,0.058269255,1.2823325,0.31230164,0.14697917,1.6458844,0.2364632,0.14787467,1.8713276,0.33629683,0.097253606,0.7916371,0.6324294,0.058720887,1.1246542,0.6854817,0.04785818,1.4537011,0.77732086,0.103257425,1.6499004,0.5669721,0.03170039,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.25879803,-0.18815877,-0.02597311,0.48597884,-0.49269655,-0.07090692,0.69509554,-0.47232458,-0.045568462,0.93791884,-0.61858,-0.16171901,1.0131356,-0.33222464,-0.12043458,1.4512424,-0.40036598,-0.089261994,1.7208863,-0.31995785,-0.08347285,1.8447156,-0.40099567,-0.007493852,0.997518,0.03665368,-0.0601192,1.4715141,-0.019486718,-0.047427732,1.8708241,0.025049394,-0.09655279,2.1072478,0.085520715,-0.02653836,0.98836267,0.32254472,-0.010737038,1.3668365,0.38817,-0.13056788,1.7704391,0.4161757,0.03041955,1.8683131,0.36802018,-0.0732898,0.8346221,0.7283846,-0.09715495,1.2286587,0.6763087,-0.06543467,1.5013559,0.6692846,-0.033195555,1.6756604,0.63451475,-0.1587149,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.18653357,-0.16650948,-0.0454677,0.3425615,-0.41726768,-0.091778465,0.59022063,-0.47127727,-0.094730094,0.8145766,-0.68186903,-0.05717063,0.8084299,-0.46372676,-0.056444988,1.2443484,-0.25813895,-0.06124584,1.6074892,-0.34385955,-0.036026504,1.8572365,-0.44777262,-0.039424095,0.99917185,0.011138819,-0.039135274,1.3876014,-0.047551107,-0.10989363,1.8053049,0.06599171,-0.0574861,2.0511117,0.050004102,-0.117346436,0.8289791,0.30558422,-0.09941323,1.3938175,0.38688135,-0.11446358,1.6686374,0.41391727,-0.08982598,1.916898,0.39835396,-0.10823741,0.7499081,0.7079815,-0.06524793,1.1304032,0.7745288,-0.013613928,1.420496,0.68388754,0.00070948515,1.6447392,0.6912828,-0.07750312,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.14391033,-0.23761919,-0.078944124,0.46721953,-0.5381928,-0.09646523,0.6923663,-0.6652168,-0.077325,0.7965139,-0.8029028,0.025048643,0.8274779,-0.4720579,-0.049866356,1.304584,-0.40520582,-0.05047799,1.7395533,-0.40919697,-0.100996405,1.9620667,-0.5291166,-0.04245796,0.97769487,-0.16853441,-0.12533498,1.4835988,-0.002125599,-0.16020009,1.9235137,-0.098695196,-0.014761438,2.1557746,-0.09398047,-0.07203248,0.9503638,0.22180288,-0.026714122,1.380339,0.31283212,-0.07509224,1.7727873,0.26225334,0.005787495,1.9362535,0.20291513,-0.05666687,0.832182,0.607758,-0.03622492,1.1034303,0.5065308,-0.08339173,1.4429272,0.64524245,-0.038505685,1.790474,0.5447298,-0.037788637,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.2402791,-0.09116599,-0.054220494,0.5366817,-0.29808426,-0.041616615,0.71421814,-0.4498416,-0.008504338,0.9958759,-0.617931,-0.016971765,0.97243774,-0.36652994,0.028565906,1.2914678,-0.24241795,-0.025020242,1.6608775,-0.32236642,0.009036065,1.8635387,-0.31860572,-0.021337574,0.9991256,0.039041013,-0.014964606,1.4749477,0.048602264,-0.0006070164,1.7910765,0.013758688,-0.0059544486,2.043864,0.12351904,-0.015576972,0.9506076,0.31923273,0.06941222,1.3193849,0.3898153,0.01679279,1.5545722,0.42289516,0.03648822,1.845428,0.3593271,0.067502424,0.7668853,0.66784537,-0.0037726874,1.0833088,0.6625217,0.022936225,1.4312059,0.6282673,0.024269072,1.7068781,0.6630419,0.020793322,0.0,1.0,0.0,CONTROL
0.0,0.0,0.0,0.16954678,-0.3978916,0.033227388,0.39924502,-0.4724454,0.021078814,0.6217454,-0.55805755,-0.046287473,0.9443227,-0.84874666,-0.009420161,0.8924347,-0.38674328,-0.010032722,1.4057112,-0.41608965,0.021538114,1.7343823,-0.30758595,0.073250525,1.9975051,-0.39801955,0.079751916,0.9995584,-0.018433237,-0.023305707,1.5345899,-0.031240433,-0.04456238,1.8279463,-0.033683125,-0.13497418,2.2594688,-0.016689794,0.038746815,0.94825596,0.28803784,0.0031161746,1.3934121,0.3831421,0.020475954,1.7517555,0.33098865,-0.033172414,2.0218258,0.3076566,0.043342818,0.804144,0.6806637,-0.016688393,1.1795396,0.6811335,0.04383322,1.546723,0.6401504,0.037543196,1.7972211,0.7925199,0.034950867,0.0,1.0,0.0,CONTROL
